match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12022718,1,1,3,7,4,,,,7,,,,
12022727,1,1,7,3,1,,,,,,,,
12022801,2,2,6,6,,,,,,,,,
12022802,0,0,3,0,,,,,,,,,
12023335,2,2,6,3,7,,,,,,,,
12023340,2,2,6,6,,,,,,,,,
12023348,2,2,6,6,,,,,,,,,
12023350,2,2,7,6,6,,,,3,,,,
12023352,2,2,6,6,,,,,,,,,
12023353,1,1,6,3,0,,,,,,,,
12023361,,,,,,,,,,,,,
12023362,2,2,6,6,,,,,,,,,
12023461,1,1,4,6,4,,,,,,,,
12023462,1,1,6,0,2,,,,,,,,
12023465,1,1,6,,,,,,,,,,
12023470,2,2,6,4,7,,,,,12,,,
12024041,0,0,2,1,,,,,,,,,
12024043,0,0,3,1,,,,,,,,,
12024064,1,1,6,7,2,,,2,,,,,
12024149,0,0,5,2,,,,,,,,,
12024225,2,2,6,6,,,,,,,,,
12024232,0,0,3,4,,,,,,,,,
12024235,2,2,6,7,,,,,7,,,,
12024236,0,0,1,4,,,,,,,,,
12024243,1,1,1,6,0,,,,,,,,
12024248,0,0,1,4,,,,,,,,,
12024249,2,2,7,6,,,,7,,,,,
12024252,2,2,7,6,,,,,,,,,
12024254,0,0,3,3,,,,,,,,,
12024307,0,0,4,3,,,,,,,,,
12024308,0,0,1,4,,,,,,,,,
12024356,1,1,6,1,,,,,,,,,
12024368,2,2,7,7,,,,7,7,,,,
12024386,2,2,7,6,,,,,,,,,
12024387,2,2,4,7,7,,,,8,8,,,
12024430,0,0,3,1,,,,,,,,,
12024431,0,0,2,2,,,,,,,,,
12024440,0,0,6,3,,,,4,,,,,
12024550,2,2,6,6,,,,,,,,,
12024572,2,2,7,7,,,,7,7,,,,
12024628,2,2,7,6,,,,,,,,,
12024632,2,2,6,6,,,,,,,,,
12024643,0,0,3,2,,,,,,,,,
12024644,1,1,6,7,2,,,3,,,,,
12024645,0,0,4,2,,,,,,,,,
12024652,0,0,1,3,,,,,,,,,
12024769,0,0,1,3,,,,,,,,,
12024782,2,2,6,6,,,,,,,,,
12024913,2,2,6,6,,,,,,,,,
12025016,2,2,6,7,,,,,,,,,
12025030,2,2,6,2,6,,,,,,,,
12025056,2,2,7,6,,,,7,,,,,
12025057,0,0,1,3,,,,,,,,,
12025085,2,2,6,7,6,,,7,7,,,,
12025144,2,2,6,6,6,,,,5,,,,
12025672,1,1,7,2,4,,,7,,,,,
11974052,0,0,,,,,,,,,,,
11974053,3,3,,,,,,,,,,,
11974066,0,0,,,,,,,,,,,
11974067,2,2,,,,,,,,,,,
11974068,3,3,,,,,,,,,,,
11974071,1,1,,,,,,,,,,,
11987997,3,3,,,,,,,,,,,
11998445,1,1,5,6,6,,,,,4,,,
11998446,0,0,4,1,,,,,,,,,
11998447,2,2,6,6,,,,,,,,,
11998452,2,2,6,6,,,,,,,,,
11998453,0,0,5,1,,,,,,,,,
11998454,2,2,7,6,,,,8,,,,,
11998456,1,1,6,3,4,,,,,,,,
11998459,2,2,7,6,,,,,,,,,
11998664,2,2,6,7,6,,,7,7,,,,
11998666,0,0,4,6,,,,,4,,,,
11998667,2,2,3,6,6,,,,,,,,
11998670,1,1,6,6,2,,,,5,,,,
11998671,2,2,6,6,,,,,,,,,
11998673,2,2,7,6,,,,,,,,,
11998772,2,2,6,6,7,,,,7,,,,
11998776,1,1,4,7,2,,,,,,,,
11998777,2,2,7,5,6,,,9,,,,,
11998779,2,2,6,7,,,,,,,,,
11998780,2,2,6,4,6,,,,,,,,
11998781,1,1,6,6,4,,,,1,,,,
11998784,2,2,6,7,,,,,7,,,,
11998786,2,2,6,6,,,,,,,,,
11999004,0,0,6,4,,,,5,,,,,
11999005,2,2,2,7,6,,,,7,,,,
11999006,0,0,3,4,,,,,,,,,
11999007,0,0,6,4,,,,6,,,,,
11999009,2,2,6,7,,,,,7,,,,
11999011,2,2,6,6,,,,,,,,,
11999014,2,2,3,6,7,,,,,9,,,
11999015,0,0,2,4,,,,,,,,,
11999018,2,2,6,6,,,,,,,,,
11999019,2,2,6,7,,,,,,,,,
11999206,0,0,6,6,,,,3,4,,,,
11999207,2,2,6,4,6,,,,,,,,
11999208,2,2,6,7,,,,,7,,,,
11999211,1,1,6,1,6,,,,,,,,
11999212,2,2,6,6,,,,,,,,,
11999213,1,1,6,3,,,,,,,,,
11999214,0,0,1,4,,,,,,,,,
11999219,0,0,3,3,,,,,,,,,
12001944,3,3,,,,,,,,,,,
12001976,1,1,,,,,,,,,,,
12002041,2,2,3,6,6,,,,,,,,
12002049,2,2,2,7,7,,,,11,,,,
12002050,0,0,1,1,,,,,,,,,
