match_id,home_vote,away_vote
12025133,60,67
12025138,700,738
12025139,1009,287
12025142,131,68
12025144,127,51
12025149,158,52
12025174,38,116
12025672,16,88
12025679,51,170
12025684,72,1044
12025685,88,1055
12025687,71,159
12025690,191,35
12025752,63,120
12025799,108,341
12025849,79,190
12026470,181,193
12026623,114,18
12026792,91,33
12026797,120,27
12026852,39,135
12026853,62,158
12026855,74,111
12026857,31,212
12026875,173,57
12026878,183,38
12026987,26,94
12027048,34,80
12027058,211,130
12027148,26,119
12027491,89,41
12027494,25,80
12027516,29,60
12027519,55,49
12027535,42,491
12027539,21,71
12027541,1093,551
12027547,94,98
12027611,76,33
12027640,453,108
12027641,564,59
12027643,21,394
12027644,53,411
12027645,35,361
12027646,349,354
12027647,407,178
12027648,255,295
12027649,539,76
12027651,283,61
12027652,31,306
12027653,111,60
12027654,192,463
12027665,78,22
12027666,117,20
12027667,108,19
12027668,7,72
12027669,90,78
12027672,118,16
12027673,17,79
12027674,29,140
12027677,143,76
12027678,38,101
12027679,55,121
12027680,52,72
12027726,6,10
12027906,422,98
12027950,64,124
12027973,211,35
12027974,26,144
12027975,205,43
12027978,231,52
12027980,23,231
12027981,80,249
12027982,354,53
12027984,43,183
12028119,4,60
12028146,85,60
12028542,95,73
12028737,22,18
12029386,18,5
12029395,13,17
12029459,9,2
12029551,6,57
12029619,11,5
12029656,6,2
12029657,5,7
12029664,0,0
12037643,12,22
12038557,0,0
12038623,48,11
12038644,0,0
12038683,8,18
12038684,22,9
12038685,28,12
12038726,15,12
12038917,23,29
12039412,0,0
12024368,1641,175
12024613,1562,273
12024557,1285,258
12024369,969,509
12024840,279,1208
12024614,1029,223
12024556,572,895
12024514,155,635
12021514,14,110
12024837,891,133
12024642,113,767
12028119,4,60
12024512,776,145
12021515,52,636
12025139,1009,287
12025138,700,738
12025685,88,1055
12025684,72,1044
12039412,0,0
12027541,1093,551
12024559,464,750
12024513,317,431
12027906,422,98
12024617,940,205
12027227,366,40
12039218,0,0
12039283,0,0
12024366,1204,350
12024616,410,505
12024839,678,225
12024558,548,245
12039391,0,0
12039701,0,0
12027231,379,27
12027545,767,148
12027905,480,50
12024511,169,240
12024367,590,157
12024836,484,134
12027987,755,176
12025137,808,78
12027988,670,69
12025136,554,438
12025683,61,811
12040867,8,51
12025682,51,828
12027230,404,22
12041772,0,0
12027726,6,10
12021513,39,213
12038623,48,11
12024510,72,170
12024370,219,39
12038685,28,12
12024555,141,196
12024615,243,41
12024838,91,142
12038917,23,29
12025140,164,40
12025681,31,150
12027544,432,100
12041662,13,4
