match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12024041,2,2,6,6,,,,,,,,,
12024043,2,2,6,6,,,,,,,,,
12024064,2,2,7,5,6,,,7,,,,,
12024149,2,2,7,6,,,,,,,,,
12024225,0,0,3,3,,,,,,,,,
12024232,2,2,6,6,,,,,,,,,
12024235,0,0,2,6,,,,,3,,,,
12024236,2,2,6,6,,,,,,,,,
12024243,2,2,6,2,6,,,,,,,,
12024248,2,2,6,6,,,,,,,,,
12024249,0,0,6,3,,,,4,,,,,
12024252,0,0,5,1,,,,,,,,,
12024254,2,2,6,6,,,,,,,,,
12024307,2,2,6,6,,,,,,,,,
12024308,2,2,6,6,,,,,,,,,
12024356,0,0,4,0,,,,,,,,,
12024368,0,0,6,6,,,,3,3,,,,
12024386,0,0,5,3,,,,,,,,,
12024387,1,1,6,6,6,,,,6,6,,,
12024430,2,2,6,6,,,,,,,,,
12024431,2,2,6,6,,,,,,,,,
12024440,2,2,7,6,,,,7,,,,,
12024550,0,0,2,2,,,,,,,,,
12024572,0,0,6,6,,,,3,5,,,,
12024628,0,0,5,2,,,,,,,,,
12024632,0,0,2,2,,,,,,,,,
12024643,2,2,6,6,,,,,,,,,
12024644,2,2,7,5,6,,,7,,,,,
12024645,2,2,6,6,,,,,,,,,
12024652,2,2,6,6,,,,,,,,,
12024769,2,2,6,6,,,,,,,,,
12024782,0,0,3,2,,,,,,,,,
12024913,0,0,1,4,,,,,,,,,
12025016,0,0,2,5,,,,,,,,,
12025030,1,1,1,6,2,,,,,,,,
12025056,0,0,6,4,,,,4,,,,,
12025057,2,2,6,6,,,,,,,,,
12025085,1,1,7,6,4,,,9,3,,,,
12025144,1,1,2,7,1,,,,7,,,,
12025672,2,2,6,6,6,,,5,,,,,
11974052,4,4,,,,,,,,,,,
11974053,2,2,,,,,,,,,,,
11974066,4,4,,,,,,,,,,,
11974067,3,3,,,,,,,,,,,
11974068,1,1,,,,,,,,,,,
11974071,3,3,,,,,,,,,,,
11987997,1,1,,,,,,,,,,,
11998445,2,2,7,2,7,,,,,7,,,
11998446,2,2,6,6,,,,,,,,,
11998447,0,0,4,0,,,,,,,,,
11998452,0,0,3,4,,,,,,,,,
11998453,2,2,7,6,,,,,,,,,
11998454,0,0,6,4,,,,6,,,,,
11998456,2,2,4,6,6,,,,,,,,
11998459,0,0,5,2,,,,,,,,,
11998664,1,1,7,6,3,,,9,4,,,,
11998666,2,2,6,7,,,,,7,,,,
11998667,1,1,6,3,4,,,,,,,,
11998670,2,2,2,7,6,,,,7,,,,
11998671,0,0,3,3,,,,,,,,,
11998673,0,0,5,3,,,,,,,,,
11998772,1,1,4,7,5,,,,9,,,,
11998776,2,2,6,5,6,,,,,,,,
11998777,1,1,6,7,4,,,7,,,,,
11998779,0,0,3,5,,,,,,,,,
11998780,1,1,2,6,3,,,,,,,,
11998781,2,2,4,7,6,,,,7,,,,
11998784,0,0,4,6,,,,,3,,,,
11998786,0,0,3,2,,,,,,,,,
11999004,2,2,7,6,,,,7,,,,,
11999005,1,1,6,6,4,,,,3,,,,
11999006,2,2,6,6,,,,,,,,,
11999007,2,2,7,6,,,,8,,,,,
11999009,0,0,3,6,,,,,3,,,,
11999011,0,0,1,1,,,,,,,,,
11999014,1,1,6,3,6,,,,,7,,,
11999015,2,2,6,6,,,,,,,,,
11999018,0,0,3,4,,,,,,,,,
11999019,0,0,3,5,,,,,,,,,
11999206,2,2,7,7,,,,7,7,,,,
11999207,1,1,0,6,3,,,,,,,,
11999208,0,0,0,6,,,,,3,,,,
11999211,2,2,2,6,7,,,,,,,,
11999212,0,0,1,3,,,,,,,,,
11999213,0,0,0,0,,,,,,,,,
11999214,2,2,6,6,,,,,,,,,
11999219,2,2,6,6,,,,,,,,,
12001944,2,2,,,,,,,,,,,
12001976,3,3,,,,,,,,,,,
12002041,1,1,6,1,0,,,,,,,,
12002049,1,1,6,6,5,,,,9,,,,
12002050,2,2,6,6,,,,,,,,,
12002051,2,2,6,5,6,,,,,,,,
12002053,0,0,1,3,,,,,,,,,
12002055,1,1,6,4,6,,,,,7,,,
12002057,0,0,2,1,,,,,,,,,
12002058,1,1,1,6,3,,,,,,,,
12002059,0,0,1,2,,,,,,,,,
12002060,1,1,6,3,6,,,,,4,,,
12002061,2,2,6,6,,,,,,,,,
12002064,2,2,6,6,,,,,,,,,
12002065,2,2,6,7,,,,,7,,,,
12002066,0,0,2,6,,,,,5,,,,
12002067,2,2,6,6,,,,,,,,,
12002068,2,2,6,7,,,,,10,,,,
12002072,2,2,5,7,7,,,,7,8,,,
12002078,1,1,,,,,,,,,,,
12002102,0,0,,,,,,,,,,,
12002109,4,4,,,,,,,,,,,
12002112,3,3,,,,,,,,,,,
12017513,2,2,6,6,,,,,,,,,
12017514,2,2,7,6,,,,7,,,,,
12018899,1,1,6,1,2,,,,,,,,
12019043,2,2,4,7,6,,,,7,,,,
12019658,2,2,6,6,,,,,,,,,
12020048,2,2,6,6,,,,,,,,,
12021512,,,,,,,,,,,,,
12021513,,,,,,,,,,,,,
12021514,,,,,,,,,,,,,
12021515,,,,,,,,,,,,,
12021516,2,2,6,6,6,,,,3,,,,
12021538,2,2,5,7,6,,,,7,,,,
12021658,2,2,6,6,,,,,,,,,
12022282,0,0,3,2,,,,,,,,,
12022321,2,2,6,1,7,,,,,12,,,
12022492,1,1,6,0,4,,,,,,,,
12022526,1,1,6,6,3,,,,5,,,,
12022528,,,,,,,,,,,,,
12022562,2,2,6,6,,,,,,,,,
12022672,1,1,7,6,2,,,,4,,,,
12022675,2,2,6,6,,,,,,,,,
12022685,2,2,6,7,,,,,7,,,,
12022703,0,0,1,3,,,,,,,,,
12022718,2,2,6,6,6,,,,4,,,,
12022727,2,2,5,6,6,,,,,,,,
12022801,0,0,4,1,,,,,,,,,
12022802,2,2,6,6,,,,,,,,,
12023335,1,1,2,6,5,,,,,,,,
12023340,0,0,2,1,,,,,,,,,
12023348,0,0,0,2,,,,,,,,,
12023349,1,1,7,1,3,,,,,,,,
12023350,1,1,5,7,3,,,,7,,,,
12023351,2,2,6,6,,,,,,,,,
12023352,0,0,3,4,,,,,,,,,
12023353,1,1,4,6,4,,,,,,,,
12023354,,,,,,,,,,,,,
12023355,1,1,4,6,3,,,,,,,,
12023356,2,2,6,6,,,,,,,,,
12023358,,,,,,,,,,,,,
12023359,,,,,,,,,,,,,
12023360,,,,,,,,,,,,,
12023361,,,,,,,,,,,,,
12023362,0,0,3,2,,,,,,,,,
12023461,2,2,6,3,6,,,,,,,,
12023462,2,2,4,6,6,,,,,,,,
12023465,0,0,4,,,,,,,,,,
12023470,1,1,4,6,6,,,,,10,,,
12024039,,,,,,,,,,,,,
12024040,,,,,,,,,,,,,
12024041,2,2,6,6,,,,,,,,,
12024042,,,,,,,,,,,,,
12024043,2,2,6,6,,,,,,,,,
12024064,2,2,7,5,6,,,7,,,,,
12024149,2,2,7,6,,,,,,,,,
12024225,0,0,3,3,,,,,,,,,
