match_id,set_num,game_num,value,break_occurred
11999009,1,2,66.0,True
11999009,1,3,10.0,False
11999009,1,4,-10.0,False
11999009,1,5,53.0,False
11999009,1,6,-10.0,False
11999009,1,7,37.0,False
11999009,1,8,23.0,True
11999009,1,9,10.0,False
11999009,2,1,-10.0,False
11999009,2,2,10.0,False
11999009,2,3,-12.2,False
11999009,2,4,10.0,False
11999009,2,5,-29.8,False
11999009,2,6,10.0,False
11999009,2,7,-18.4,False
11999009,2,8,10.0,False
11999009,2,9,-32.0,False
11999009,2,10,47.6,False
11999009,2,11,60.0,True
11999009,2,12,-13.2,True
11999009,2,13,65.0,False
11999010,1,1,-54.0,False
11999010,1,2,10.0,False
11999010,1,3,-10.0,False
11999010,1,4,39.2,False
11999010,1,5,-54.0,False
11999010,1,6,10.0,False
11999010,1,7,-14.2,False
11999010,1,8,12.2,False
11999010,1,9,-27.6,False
11999010,1,10,10.0,False
11999010,1,11,-34.0,False
11999010,1,12,24.0,False
11999010,1,13,50.0,False
11999010,2,1,61.0,False
11999010,2,2,47.2,True
11999010,2,3,23.2,False
11999010,2,4,-28.2,False
11999010,2,5,22.6,False
11999010,2,6,33.6,True
11999010,2,7,16.8,False
11999011,1,1,61.0,False
11999011,1,2,-10.0,False
11999011,1,3,47.4,False
11999011,1,4,41.4,True
11999011,1,5,68.2,False
11999011,1,6,72.8,True
11999011,1,7,18.8,False
11999011,2,1,-10.0,False
11999011,2,2,35.2,False
11999011,2,3,38.4,True
11999011,2,4,56.6,False
11999011,2,5,47.0,True
11999011,2,6,51.0,False
11999011,2,7,88.6,True
11999012,1,1,-19.0,False
11999012,1,2,10.0,False
11999012,1,3,-39.8,False
11999012,1,4,-40.2,True
11999012,1,5,16.2,True
11999012,1,6,53.4,False
11999012,1,7,-10.0,False
11999012,1,8,14.8,False
11999012,1,9,-35.2,False
11999012,1,10,47.6,False
11999012,1,11,-27.4,False
11999012,1,12,28.6,False
11999012,1,13,-90.0,False
11999012,2,1,10.0,False
11999012,2,2,-10.0,False
11999012,2,3,-19.6,True
11999012,2,4,-79.4,False
11999012,2,5,35.0,False
11999012,2,6,-12.2,False
11999012,2,7,63.2,False
11999012,2,8,41.2,True
11999012,2,9,21.2,False
11999012,2,10,-28.8,False
11999012,2,11,29.6,False
11999012,2,12,25.0,True
11999012,3,1,54.0,False
11999012,3,2,-32.2,False
11999012,3,3,10.0,False
11999012,3,4,-68.8,False
11999012,3,5,10.0,False
11999012,3,6,-12.4,False
11999012,3,7,10.0,False
11999012,3,8,-10.0,False
11999012,3,9,53.2,False
11999012,3,10,-14.0,False
11999012,3,11,35.0,False
11999012,3,12,-10.0,False
11999012,3,13,-65.0,False
11999013,1,1,54.0,False
11999013,1,2,-50.2,False
11999013,1,3,-19.4,True
11999013,1,4,-19.8,False
11999013,1,5,24.6,False
11999013,1,6,-10.0,False
11999013,1,7,59.0,False
11999013,1,8,-44.0,False
11999013,1,9,-32.0,True
11999013,2,1,-54.0,False
11999013,2,2,-63.8,True
11999013,2,3,-75.4,False
11999013,2,4,-100.0,True
11999013,2,5,-67.6,False
11999013,2,6,-88.6,True
11999014,1,1,-61.0,False
11999014,1,2,10.0,False
11999014,1,3,-39.0,False
11999014,1,4,-10.0,True
11999014,1,5,49.2,True
11999014,1,6,-10.0,True
11999014,1,7,-46.6,False
11999014,1,8,46.6,False
11999014,1,9,-34.6,False
11999014,2,1,54.0,False
11999014,2,2,-10.0,False
11999014,2,3,10.0,False
11999014,2,4,34.6,True
11999014,2,5,17.8,False
11999014,2,6,-10.0,False
11999014,2,7,10.0,False
11999014,2,8,-10.0,False
11999014,2,9,10.0,False
11999014,3,1,-54.0,False
11999014,3,2,50.2,False
11999014,3,3,-52.6,False
11999014,3,4,30.4,False
11999014,3,5,-10.0,False
11999014,3,6,41.8,False
11999014,3,7,-35.8,False
11999014,3,8,59.6,False
11999014,3,9,-10.0,False
11999014,3,10,14.4,False
11999014,3,11,-62.0,False
11999014,3,12,31.6,False
11999014,3,13,15.0,False
11999209,1,1,-10.0,True
11999209,1,2,-14.0,False
11999209,1,3,-15.6,True
11999209,1,4,-34.0,False
11999209,1,5,20.8,False
11999209,1,6,35.0,True
11999209,1,7,-22.2,True
11999209,1,8,-10.0,False
11999209,2,1,29.0,False
11999209,2,2,-10.0,False
11999209,2,3,-10.0,True
11999209,2,4,-56.4,False
11999209,2,5,17.2,False
11999209,2,6,-10.0,False
11999209,2,7,-28.0,True
11999209,2,8,-68.4,False
11999210,1,1,-55.0,True
11999210,1,2,-18.0,False
11999210,1,3,-87.4,True
11999210,1,4,10.0,True
11999210,1,5,-14.4,True
11999210,1,6,-10.0,False
11999210,1,7,53.2,False
11999210,1,8,30.0,True
11999210,1,9,10.0,False
11999210,1,10,53.0,True
11999210,1,11,37.2,False
11999210,1,12,-20.0,False
11999210,1,13,-65.0,False
11999210,2,1,-29.0,False
11999210,2,2,-40.8,True
11999210,2,3,-41.8,False
11999210,2,4,-32.8,True
11999210,2,5,23.2,True
11999210,2,6,-32.4,True
11999210,2,7,-10.0,False
11999211,1,1,35.0,True
11999211,1,2,11.0,False
11999211,1,3,-28.2,False
11999211,1,4,10.0,False
11999211,1,5,-11.2,False
11999211,1,6,53.2,False
11999211,1,7,43.0,True
11999211,1,8,71.4,False
11999211,2,1,-29.0,False
11999211,2,2,48.2,False
11999211,2,3,-10.0,False
11999211,2,4,-45.0,True
11999211,2,5,-12.8,False
11999211,2,6,-53.2,True
11999211,2,7,-39.6,False
11999211,3,1,-20.0,True
11999211,3,2,-35.0,False
11999211,3,3,-28.2,True
11999211,3,4,45.2,True
11999211,3,5,11.4,False
11999211,3,6,86.8,True
11999211,3,7,44.8,False
11999211,3,8,-40.2,False
11999211,3,9,47.6,False
11999211,3,10,-10.0,False
11999211,3,11,64.0,False
11999211,3,12,-19.0,False
11999211,3,13,-10.0,False
11999212,1,1,-54.0,False
11999212,1,2,18.2,False
11999212,1,3,10.0,True
11999212,1,4,23.8,False
11999212,1,5,47.8,True
11999212,1,6,15.4,False
11999212,1,7,26.4,True
11999212,2,1,54.0,False
11999212,2,2,-10.0,False
11999212,2,3,10.0,False
11999212,2,4,46.0,True
11999212,2,5,35.6,False
11999212,2,6,-13.2,False
11999212,2,7,54.0,False
11999212,2,8,-10.0,False
11999212,2,9,10.0,False
11999213,1,1,10.0,False
11999213,1,2,34.8,True
11999213,1,3,10.0,False
11999213,1,4,34.8,True
11999213,1,5,30.4,False
11999213,1,6,28.4,True
11999213,2,1,10.0,False
11999213,2,2,31.8,True
11999213,2,3,10.0,False
11999215,1,1,-35.0,True
11999215,1,2,-11.0,False
11999215,1,3,-42.8,True
11999215,1,4,25.2,True
11999215,1,5,53.6,False
11999215,1,6,-10.0,False
11999215,1,7,14.0,False
11999215,1,8,-10.0,False
11999215,1,9,10.0,False
11999215,1,10,10.0,True
11999215,1,11,-34.2,True
11999215,1,12,-10.0,False
11999215,2,1,10.0,False
11999215,2,2,-10.0,False
11999215,2,3,-10.8,True
11999215,2,4,29.6,True
11999215,2,5,28.6,False
11999215,2,6,-42.6,False
11999215,2,7,-24.0,True
11999215,2,8,-59.4,False
11999215,2,9,10.0,False
11999215,2,10,-38.2,False
11999219,1,1,31.0,False
11999219,1,2,-22.8,False
11999219,1,3,24.4,False
11999219,1,4,-55.0,False
11999219,1,5,-61.0,True
11999219,1,6,-50.8,False
11999219,1,7,10.0,False
11999219,1,8,-10.0,False
11999219,1,9,-33.6,True
11999219,2,1,-10.0,False
11999219,2,2,54.0,False
11999219,2,3,-10.0,False
11999219,2,4,13.6,False
11999219,2,5,-54.4,False
11999219,2,6,10.0,False
11999219,2,7,-72.2,False
11999219,2,8,-42.6,True
11999219,2,9,-72.2,False
11999220,1,1,68.0,False
11999220,1,2,31.6,True
11999220,1,3,-15.8,True
11999220,1,4,-10.0,False
11999220,1,5,10.0,False
11999220,1,6,-10.0,False
11999220,1,7,28.4,False
11999220,1,8,-10.0,False
11999220,1,9,-29.4,True
