match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12190746,1,full_time,False,False,10/11,10/11,2,162495761,False,0
12190853,1,full_time,False,False,1/4,1/4,1,162351177,True,0
12190853,1,full_time,False,False,11/4,11/4,2,162351240,False,0
12190854,1,full_time,False,False,4/9,4/9,1,162348205,False,0
12190854,1,full_time,False,False,13/8,13/8,2,162348250,True,0
12190855,1,full_time,False,False,4/11,4/11,1,162350477,True,0
12190855,1,full_time,False,False,2/1,2/1,2,162350536,False,0
12190856,1,full_time,False,False,8/13,8/13,1,162348938,True,0
12190856,1,full_time,False,False,6/5,6/5,2,162349089,False,0
12190911,1,full_time,False,False,1/6,1/6,1,162442027,True,0
12190911,1,full_time,False,False,7/2,7/2,2,162442085,False,0
12190912,1,full_time,False,False,1/2,1/2,1,162243788,True,0
12190912,1,full_time,False,False,6/4,6/4,2,162243813,False,0
12190913,1,full_time,False,False,5/6,5/6,1,163058250,False,0
12190913,1,full_time,False,False,5/6,5/6,2,163058317,True,0
12191028,1,full_time,False,False,7/4,7/4,1,163154091,False,0
12191028,1,full_time,False,False,2/5,2/5,2,163154391,True,0
12191095,1,full_time,False,False,1/3,1/3,1,163051817,True,0
12191095,1,full_time,False,False,9/4,9/4,2,163051836,False,0
12191097,1,full_time,False,False,1/20,1/20,1,162232458,True,0
12191097,1,full_time,False,False,15/2,15/2,2,162232642,False,0
12191098,1,full_time,False,False,1/4,1/4,1,163034944,True,0
12191098,1,full_time,False,False,11/4,11/4,2,163034970,False,0
12191099,1,full_time,False,False,5/6,5/6,1,163051512,True,0
12191099,1,full_time,False,False,5/6,5/6,2,163051593,False,0
12191101,1,full_time,False,False,1/2,1/2,1,163035050,True,0
12191101,1,full_time,False,False,6/4,6/4,2,163035086,False,0
12191103,1,full_time,False,False,1/12,1/12,1,162230852,True,0
12191103,1,full_time,False,False,6/1,6/1,2,162230948,False,0
12191119,1,full_time,False,False,8/13,8/13,1,163153349,True,0
