match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12002041,2715,2672,1653,,,1706800212
12002049,2328,4221,3886,,,1706815633
12002050,1665,2215,,,,1706801765
12002051,2316,3020,3172,,,1706798396
12002053,1702,2943,,,,1706794599
12002055,1820,2252,4407,,,1706824607
12002057,2267,2234,,,,1706874479
12002058,1608,2944,3375,,,1706862282
12002059,2372,1882,,,,1706892467
12002060,1622,3605,4419,,,1706882868
12002061,2345,2042,,,,1706897976
12002064,2130,2367,,,,1706868767
12002065,1346,4078,,,,1706877070
12002066,1937,3950,,,,1706956896
12002067,2075,3004,,,,1706963968
12002068,1844,3363,,,,1706883976
12002072,3463,3793,3944,,,1706972998
12002078,,,,,,
12002102,,,,,,
12002109,,,,,,
12002112,,,,,,
12017513,1926,3247,,,,1706814350
12017514,3383,2677,,,,1706811579
12018899,2341,2013,2350,,,1706802733
12019043,2313,4002,1521,,,1706800694
12019658,1983,2110,,,,1706799555
12020048,2237,1843,,,,1706811899
12021512,,,,,,
12021513,,,,,,
12021514,,,,,,
12021515,,,,,,
12021516,2477,3018,2262,,,1706809917
12021538,3809,4967,2250,,,1706800065
12021658,1937,2957,,,,1706800086
12022282,1878,2447,,,,1706805731
12022321,2412,2319,4984,,,1706795763
12022492,2266,1725,2669,,,1706804231
12022526,2531,4533,2974,,,1706803411
12022528,,,,,,
12022562,1785,2499,,,,1706812717
12022672,3212,2997,1873,,,1706797435
12022675,1398,1794,,,,1706794613
12022685,2873,5149,,,,1706806496
12022703,1779,1791,,,,1706805450
12022718,1941,3029,2292,,,1706802854
12022727,2590,2995,2402,,,1706809253
12022801,3125,2118,,,,1706806759
12022802,2535,1471,,,,1706814963
12023335,1641,2788,3441,,,1706836913
12023340,2391,1688,,,,1706845722
12023348,1612,2251,,,,1706845537
12023349,2708,1657,2521,,,1706949098
12023350,2831,3047,1593,,,1706855829
12023351,1537,2079,,,,1706940696
12023352,4004,3489,,,,1706863024
12023353,3737,2254,1393,,,1706874610
12023354,,,,,,
12023355,3259,3015,3227,,,1706959843
12023356,3109,3030,,,,1706967835
12023358,,,,,,
12023359,,,,,,
12023360,,,,,,
