match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
12173290,1,,,GIFbstxuc,1,3,1710902100,yamanaka-cui,False
12173291,1,,,LOlbslVId,1,3,1710895800,taguchi-masabayashi,False
12173292,1,,,MQOsKiEb,2,3,1710901800,imamura-chung,False
12173293,2,,,pLLcsJmFd,2,3,1710896400,morita-nakagawa,False
12173294,2,,,HoZbsqjkc,1,3,1710921300,xiao-kumasaka,False
12173295,2,,,rbwcszrFd,2,3,1710917400,matsuda-sakellaridis,False
12173296,1,,,WnmbsUlrd,1,3,1710916200,vithoontien-nishiwaki,False
12173297,2,,,JnmbslzNb,1,3,1710896400,ray-ho-tokuda,False
12173404,,,,NiucsWmEd,1,3,1710851100,osti-misasi,False
12173757,2,,,opjbsDdPd,2,3,1710918000,safiullina-gabric,False
12173758,1,,,EYRsZeJd,1,3,1710918000,kumru-turati,False
12173759,2,,,kdTbsbvid,2,3,1710918000,vasileva-sevcikova,False
12173760,2,,,yKIcskqHd,1,3,1710931500,kargina-avdeeva,False
12173761,,,,Pynbskhee,,3,1710932100,vujovic-vasilescu,False
12173762,1,,,qEGcsZIGc,2,3,1710934200,marusinova-odorizzi,False
12173764,1,,,JNYcslhee,2,3,1710932700,zidelova-daems,False
12174060,2,,,gwBbsZuod,1,3,1710907200,hirpara-dev,False
12174061,2,,,yhccsHGbd,1,3,1710920100,mehra-chanta,False
12174062,1,,,eheesPree,2,3,1710907200,heisnam-chauhan,False
12174063,2,,,TWadscAed,1,3,1710907200,jang-kamath,False
12174064,2,,,JZysgXad,2,3,1710907200,duhan-trongcharoenchaikul,False
12174065,1,,,QvHsDBNb,2,3,1710919800,jaisinghani-hoang-nam-ly,False
12174066,2,,,JuxbsyEbd,2,3,1710916200,bhatnagar-vishwakarma,False
12174067,2,,,CCysknHd,2,3,1710910800,ganesh-ramanathan,False
12174135,2,,,CjucsulBc,2,3,1710928800,sperle-carnevalle,False
12174136,2,,,pHgsmQJd,1,3,1710925800,carboni-ilhan,False
12174138,2,,,TbPslZAb,2,3,1710935100,aksu-ferrari,False
12174140,1,,,RDBbsYmld,2,3,1710935100,engel-martinez,False
12174141,2,,,QnPcsnvid,1,3,1710927600,tammaro-szajrych,False
12174222,1,,,ZVNbsrwGc,2,3,1710934800,luo-hertel,False
12174223,2,,,fwObsdRid,1,3,1710931800,petkovic-koller,False
12174225,1,,,eTPbszlmd,2,3,1710923400,popescu-shan,False
12174226,2,,,UkRcsZTqd,1,3,1710932700,soulie-veldman,False
12174227,2,,,Nynbsuyfc,2,3,1710923400,cassani-rushiti,False
12174228,2,,,PkJbsxvod,2,3,1710923400,buchwald-lanca,False
12174230,1,,,oJXsyYOc,1,3,1710938400,golas-bouzo-zanotti,False
12174266,1,,,lNqcsTree,1,3,1710937500,orlando-pellicero-llinares-domingo,False
12174267,1,,,DQAbsyoDc,1,3,1710925200,szabanin-karamoko,False
12174268,1,,,ngxsTKNb,1,3,1710924900,hennemann-simion,False
12174269,1,,,gYadsnymd,2,3,1710930600,matsuda-tatu,False
12174271,2,,,cfHbsCjOb,1,3,1710932700,hodzic-arias-manjon,False
12174272,1,,,IllcsTNKc,1,3,1710929100,bielinskyi-dagostino,False
12174273,1,,,vAobsarwb,1,3,1710936900,iamachkine-salden,False
12174274,2,,,KLacsJWcd,2,3,1710941400,ercegovic-thurner,False
12174275,2,,,RhddsGDud,1,3,1710923100,radjenovic-maksimovic,False
12174276,1,,,XYPbsFBbc,1,3,1710938700,vatteroni-compagnucci,False
12174277,1,,,ehCbsmvLb,1,3,1710935400,taylor-sorrentino,False
12174278,2,,,MbPsOeW,1,3,1710923400,kaukovalta-panak,False
12174279,2,,,LWecseQJd,2,3,1710936900,ludoski-obradovic,False
12174281,2,,,kRHcsjypd,1,3,1710923400,markovina-kupcic,False
12174317,1,,,XYLbsREoc,1,3,1710925200,krumich-cekirge,False
12174319,1,,,AAHsZYLb,1,3,1710939300,gimeno-valero-gutierrez,False
12174320,2,,,cOLcsqXpd,1,3,1710931200,pedrico-kravtsov-privara,False
12174321,1,,,jgEbsyVLc,2,3,1710925200,manzanera-pertusa-clarke,False
12174322,1,,,AZwsGkYb,1,3,1710941400,fernandez-flores-casanova,False
12174324,1,,,lvidsvNFd,1,3,1710931800,sanchez-quilez-regas-luis,False
12174356,2,,,KbmdsApmd,1,3,1710938700,mcdonald-atia,False
12174357,2,,,ApMsYwcc,2,3,1710926400,karunaratne-stoilkovska,False
12174358,1,,,WWBbsHGFd,1,3,1710932700,lazarenko-villet,False
12174359,2,,,Bbkbsqflb,2,3,1710927300,helgo-ahn,False
12174360,1,,,LDQdsUrde,1,3,1710941400,ohwaki-kovackova,False
12174361,1,,,TpCbscExc,2,3,1710921600,zvonaru-hutchinson,False
12174364,1,,,PQAsEiHc,1,3,1710921600,van-poppel-cadar,False
12174365,2,,,bPMsPjIc,1,3,1710921600,popa-teiusanu-bestetti,False
12174366,1,,,xFocsBKtd,1,3,1710936000,drozd-lammas,False
12174367,1,,,mflbsuyYb,2,3,1710928500,samardzic-kuczer,False
12174368,1,,,kYmdsxwUd,1,3,1710921600,kim-bojica,False
12174369,1,,,UyTbsLwQc,2,3,1710937500,gorska-belgraver,False
12174382,2,,,HJvsEtdd,1,3,1710925800,barbulescu-siedliska,False
12174383,,,,UUDslzCc,,3,1710921600,zuchanska-a-hobgarski,False
12174384,1,,,tOmbsOiic,1,3,1710921600,mair-masic,False
12174385,1,,,GKPbsbXcd,1,3,1710932700,slavikova-breckova,False
12174386,2,,,tRucsakEc,2,3,1710940800,vanik-nguyen-tan,False
12174388,1,,,JXQbsEOZd,1,3,1710938700,lazarenko-milatova,False
12174390,2,,,KtvcsPJFc,1,3,1710937800,auer-dapkute,False
12174479,2,,,uugdsvmRd,1,3,1710938700,grzegorzewski-coccioli,False
12174480,1,,,BLmbshhfd,1,3,1710921600,ianin-van-wyk,False
12174481,1,,,IXmdsMkvd,1,3,1710921600,ivanov-bondioli,False
12174482,1,,,xbGbsIFjc,2,3,1710929400,habib-gengel,False
12174483,1,,,PqmbsAlBc,1,3,1710928500,ibrahim-volpi,False
12174484,1,,,DYJbsqWGc,1,3,1710921600,asrawy-benaim,False
12174486,1,,,yZKbsaBPc,1,3,1710927600,pawelski-lorusso,False
12174487,2,,,fiObsqqde,2,3,1710936300,fathalla-stanke,False
12174488,2,,,JlzskWqd,2,3,1710932100,drayton-dzhavakian,False
12174489,1,,,qEgcsofMd,2,3,1710933600,khlyvniuk-khamis,False
12174490,2,,,bhVsWJQb,2,3,1710926400,houghton-kirci,False
12174491,2,,,OPHbsxiGc,2,3,1710938700,pel-little,False
12174492,2,,,hMUsJYPb,2,3,1710921600,bosio-ursu,False
12174493,2,,,vAacsezPc,2,3,1710933300,pieczkowski-biloborodko,False
12174494,1,,,GrtcsCkRc,1,3,1710937200,jong-binda,False
12174506,1,,,UUDsQBkd,1,3,1710921600,ionescu-hobgarski,False
12174578,1,,,zKkcsGLcd,1,3,1710942000,ellouck-matsuda,False
12174580,1,,,BOKspeoc,2,3,1710936000,heinonen-wiersholm,False
12174583,2,,,pDXbsPzjd,2,3,1710936000,shimanov-cohen,False
12174633,1,,,NuncsvMKd,1,3,1710938400,fernandes-gonzalez-fernandez,False
12174634,2,,,FRrbsnKnd,1,3,1710937500,marincas-curras-abasolo,False
12174635,1,,,kLysHCNb,2,3,1710938400,marques-caruso,False
12174636,,,,fnxcsRacd,,3,1710932400,gentzsch-beckley,False
12174637,2,,,ozfbslWYc,2,3,1710931800,nicod-fernandez-canovas,False
12174639,1,,,AKTbsejuc,2,3,1710932400,lara-salmeron-echeverria,False
12174764,1,,,TmvsGPN,2,3,1710930300,christofi-lukas,False
12174765,1,,,OctsYFnc,2,3,1710928200,middendorf-papamichail,False
12174766,1,,,PCtcsWmGc,2,3,1710918000,soboleva-koevermans,False
12174767,2,,,TpxswHOb,1,3,1710927600,sauvant-chiesa,False
12174768,2,,,YphszPuc,1,3,1710918000,scilipoti-zvonareva,False
12174769,1,,,Bwpcsrzed,2,3,1710920400,zaytseva-noha-akugue,False
12174770,1,,,LxnbsOawc,2,3,1710918000,ruggeri-prisacariu,False
12175247,1,,,Ynedspbod,1,3,1710935700,sonobe-rodriguez,False
12175248,2,,,lyMsnhMc,1,3,1710941700,ueno-dalmonico-fetecau,False
12175249,2,,,rNrsHZfc,1,3,1710942300,gerald-gonzalez-bosio,False
12175250,1,,,AtmcszNPd,2,3,1710936000,rivoli-bossi,False
12175251,1,,,qJXseCtb,2,3,1710936000,romero-herrero-linana,False
12176543,,,,fnxcsybVc,1,3,1710932400,batista-beckley,False
12176556,,,,Itkcskhee,1,3,1710925200,vujovic-osterreicher,False
12156093,2,,,GTocsZNFc,2,3,1710967200,vallejo-burruchaga,False
12156096,2,,,aPCsEGRb,2,3,1710976200,rodriguez-mager,False
12156098,1,,,cqLbsuCld,1,3,1710961200,fonseca-escurra-isnardi,False
12156108,1,,,VyUsDZfc,2,3,1710968400,pucinelli-de-almeida-luz,False
12156216,1,,,IRHsCEdc,2,3,1710964800,hernandez-dellien-velasco,False
12156217,2,,,LPRbshxed,1,3,1710986400,pacheco-mendez-boyer,False
12156219,,,,btvshyP,2,3,1710962400,rybakov-popko,False
12156220,2,,,jBvshoU,1,3,1710968400,pichler-cid-subervi,False
12156221,1,,,EEVsUacd,1,3,1710979200,campana-lee-ficovich,False
12156227,1,,,hPFsTzG,2,3,1710961200,ejupovic-kozlov,False
12156232,1,,,kIhbsKMzb,2,3,1710967800,hardt-brumm,False
12156235,2,,,FnpsvyQb,2,3,1710957600,boitan-mena,False
12156239,2,,,oNfsQcFc,2,3,1710945300,vincent-ruggeri-gasquet,False
12156251,1,,,XPrswry,1,3,1710933600,bourgue-albot,False
12156253,1,,,rvpsXwM,1,3,1711020900,pellegrino-trungelliti,False
12156255,1,,,ezksCpFb,1,3,1711015200,blanchet-basilashvili,False
12156256,2,,,pFFsiMfc,1,3,1710954600,llamas-ruiz-gakhov,False
12156260,1,,,eTBsvLLc,1,3,1710928800,rocha-barrere,False
12156268,2,,,YzrsaOKc,2,3,1710942000,neumayer-thiem,False
12156273,1,,,QKhcsOGOc,1,3,1710930900,prizmic-forejtek,False
12156276,2,,,kcLsibdb,2,3,1711015200,kolar-serdarusic,False
12156278,1,,,ILgsAKQb,1,3,1710932700,skatov-giannessi,False
12156279,2,,,zBIbsBrtd,1,3,1711023900,dodig-andreev,False
12156280,1,,,jvvsEMEb,2,3,1710925200,kopp-kuzmanov,False
12156281,1,,,aBosdyR,2,3,1711015200,dalla-valle-travaglia,False
12156282,2,,,wPxsVpHb,2,3,1711022100,piros-kovalik,False
12166873,1,,,VyUsnvOb,1,3,1710874800,draxl-luz,False
12166875,2,,,aPCsGOuc,1,3,1710874800,sekulic-mager,False
12166876,1,,,jfysPvib,1,3,1710891600,gomez-oliveira,False
12166877,1,,,OVxsmfKb,1,3,1710874800,reis-da-silva-dellien,False
12166878,2,,,MpxsZNFc,2,3,1710884400,vallejo-olivo,False
12166879,2,,,BlBsxNDb,2,3,1710890400,sanchez-jover-sakamoto,False
12166883,2,,,YUDsxQgd,1,3,1710893700,prado-angelo-varillas,False
12166932,1,,,hyPsWixb,1,3,1710889200,wessels-rybakov,False
12166933,1,,,btvsaIX,2,3,1710874800,fancutt-popko,False
12166935,2,,,YIEbsCEdc,2,3,1710889200,hernandez-rubio-fierros,False
12166949,1,,,NELbsBrtd,1,3,1710857400,dodig-misolic,False
12166952,2,,,kcLsxcib,1,3,1710852300,martineau-serdarusic,False
12166958,1,,,pFFsJPHb,2,3,1710858300,tseng-gakhov,False
12166965,1,,,CpFbshrac,1,3,1710860400,moro-canas-blanchet,False
12169395,2,,,jLrsaAD,2,3,1710946800,frech-giorgi,False
12169396,1,,,jZqswDxc,1,3,1710957300,fruhvirtova-rogers,False
12169397,1,,,HoisQmv,1,3,1710966000,vekic-pliskova-ka,False
12169398,2,,,JltsnjR,2,3,1710946800,bouzkova-zhu,False
